NRd;MRd
-1189,55;0.00 
-1189,55;0.00 
-1189,55;0.00 
-1189,55;0.00 
-1189,55;0.00 
-1189,55;0.00 
-1189,55;0.00 
-1189,55;0.00 
-1189,55;0.00 
-1189,55;0.00 
-1156,4;-196924.00 
-1065,47;-736917.00 
-893576.00 ;-173446.00 
-621533.00 ;-328878.00 
-337614.00 ;-490376.00 
-523254.00 ;-651725.00 
229028.00 ;-809635.00 
509913.00 ;-966355.00 
788119.00 ;-1120,45
995625.00 ;-1234,66
1228,2;-1361,79
1497,82;-1508.00 
1820,93;-1681,13
2220,63;-1891,54
2708,47;-2140,54
3359,53;-2456,53
4425,18;-2939,23
6484,33;-3750,4
6948,07;-3910,99
7483,24;-4086,21
8107,81;-4277,02
8843,41;-4483,05
9572,65;-4674,32
10232,9;-4834,2
10848,3;-4961,45
11456,8;-5051,1
12121,6;-5088,42
12383,7;-5046,55
12659,3;-4997,65
12951,4;-4940,12
13264,1;-4871,83
13602.00 ;-4789,9
13970,7;-4690,33
14375,8;-4567,4
14824,4;-4413,27
15325,5;-4216,85
15714,4;-4042,6
16064,8;-3884,8
16376,9;-3743,45
16650,7;-3618,54
16886.00 ;-3510,08
17083.00 ;-3418,07
17241,5;-3342,51
17361,7;-3283,39
17430,3;-3247,99
17430,3;-3247,99
17308,5;-3188,5
17028,6;-3057,08
16603,9;-2861,02
16034,3;-2600,3
15319,9;-2274,95
14460,7;-1884,94
13456,6;-1430,29
12307,7;-910989.00 
11013,9;-327042.00 
9429,24;318929.00 
8112,19;791831.00 
7029,12;1136,27
6153,68;1384,08
5465,01;1558,39
4946,33;1676,27
4584.00 ;1750,45
4314,03;1800,73
4061,39;1844,77
3479,27;1827,15
3043,13;1780,39
2704,17;1724,2
2433,17;1666,79
2211,55;1611,59
2026,95;1559,94
1870,81;1512,24
1737,02;1468,44
1621,08;1428,29
1106,3;1225,5
839883.00 ;1104,82
677119.00 ;1025,83
518958.00 ;943666.00 
355893.00 ;856335.00 
211971.00 ;778324.00 
814259.00 ;707045.00 
-39,86;640534.00 
-154878.00 ;577253.00 
-309242.00 ;492083.00 
-464275.00 ;406256.00 
-619424.00 ;320133.00 
-775558.00 ;233149.00 
-931,35;146128.00 
-1084,17;606238.00 
-1158,53;184229.00 
-1181,26;492309.00 
-1189,55;0.00 
-1189,55;0.00 
-1189,55;0.00 
-1189,55;0.00 
-1189,55;0.00 
-1189,55;0.00 
-1189,55;0.00 
-1189,55;0.00 
-1189,55;0.00 
-1189,55;0.00 
